Date,Account_Number,Amount,Description
2024-02-02,AVTP20343804325150,1436.99,shopping
2024-12-05,CCDL28457596832094,1779.81,home_improvement
2024-04-19,ODAQ65098503730842,1955.3,utilities
2024-01-01,QJVZ94295788805101,477.24,travel
2024-01-28,KYIV13774626257896,1759.27,health_and_fitness
2024-04-25,IUZB26472416097562,138.22,shopping
2024-12-02,ZGML96038389022246,1721.65,home_improvement
2024-08-18,EFMG43108898267209,1040.75,home_improvement
2024-09-14,VDHY83581752306981,893.19,donations
2024-07-28,KUYS73253721857809,625.87,education
2024-09-25,QGXZ14181892178512,843.36,insurance
2024-06-14,RSBM62773233361991,1444.47,misc
2024-05-14,KOVF37855936333942,1119.62,donations
2024-01-09,LDRQ01889864927831,1215.85,home_improvement
2024-01-26,TEVX55107364342094,1230.85,dining
2024-11-13,GSDG84911105600656,1013.7,home_improvement
2024-01-23,YAJI36005714550846,1946.33,travel
2024-06-24,VKTP81191794043288,1214.9,entertainment
2024-01-21,PQIS99433739089903,4.67,home_improvement
2024-11-01,WPIS52579179560154,848.95,home_improvement
2024-10-26,WFCO26848364195673,1833.39,business
2024-05-06,HCWS53363579365372,1468.22,groceries
2024-08-06,MEBN31771927107912,1269.24,groceries
2024-08-14,QYKX45852106117945,837.69,entertainment
2024-03-24,UCCO79357296350912,1281.16,groceries
2024-01-27,OOTS88163438219637,1163.96,groceries
2024-07-06,BCAK20762256687749,1522.2,education
2023-12-23,HJTH73600477670625,1924.8,travel
2024-04-16,OVJK63878571636778,1515.93,subscriptions
2024-10-21,PWFG31954093406142,835.09,travel
2024-10-05,MYUA91744615094556,1285.45,utilities
2024-10-15,MKQR02701143770346,1076.02,home_improvement
2024-11-03,VWVM95719140805805,1358.42,donations
2024-02-23,ERMK18278640910055,1677.96,misc
2024-10-09,NPRP80936416348824,1208.58,subscriptions
2024-04-06,CRXR94698752532224,1771.98,education
2024-12-08,BCAZ46858449462191,800.23,misc
2024-08-05,WIDF09932243468821,1331.75,utilities
2024-04-16,LNBY44351188483441,1023.83,utilities
2024-02-10,FZIQ16008150100076,1741.08,subscriptions
2024-07-01,OTTL46572135705606,375.23,dining
2024-12-05,POYT92430101909873,1186.36,health_and_fitness
2024-07-13,AJYS00484420991782,1564.74,education
2024-04-01,LTLF76997505516688,706.75,donations
2024-07-07,QFWD78651697848809,978.33,shopping
2024-01-07,IRHZ00910784871013,248.25,donations
2024-12-08,VTSH34174958468663,409.03,home_improvement
2024-09-28,KANR25866103884620,1633.26,dining
2024-05-17,OLEL35953285223414,1832.7,health_and_fitness
2024-02-12,OCLX60290443064767,1315.43,insurance
2024-07-28,MNVU99930096679208,1509.32,health_and_fitness
2024-04-10,JSOH46697895115373,1922.45,health_and_fitness
2024-02-21,WMDV51904792359663,677.79,shopping
2024-12-05,FUKR19962983097966,1604.13,business
2023-12-27,TWLL26167077339422,140.42,groceries
2024-08-05,PVLR00953771776943,1770.91,shopping
2024-04-25,JHCQ16692974771033,844.05,transportation
2024-03-02,CXQK54882863189217,45.34,subscriptions
2024-05-04,EHTA72620662106978,195.58,travel
2024-07-15,NWHY46722558595041,1193.88,transportation
2024-03-18,HAGE73303392761391,881.5,entertainment
2024-05-23,HDZI09231334493844,672.5,travel
2024-08-27,NBYQ49091355741913,124.98,groceries
2024-10-03,IUSX16104534414056,528.21,business
2024-03-11,FEHX93624976701180,1603.68,education
2024-07-22,BPGD56990889739371,609.05,shopping
2024-08-01,VJYL91938882879522,150.84,travel
2024-01-31,FAHP24477107644710,943.6,home_improvement
2024-07-07,KKXF13377419171193,1713.82,subscriptions
2024-01-10,CGVV82354610183164,1057.57,transportation
2024-03-07,IXGH05717879322111,433.32,utilities
2024-03-04,FKVC18189939336875,1316.87,travel
2024-10-30,VJME21524919680683,1154.83,misc
2024-09-30,QCSI75678408803791,279.54,business
2024-09-27,FHYO62832498116696,1578.05,shopping
2024-09-19,KNBG75974358709004,1971.84,donations
2024-01-03,DTQP56472204646712,144.45,entertainment
2024-07-30,IECT84511434565514,932.1,groceries
2024-01-29,YEVD67478706703487,941.2,entertainment
2024-10-11,BDQS56639702334705,755.48,utilities
2024-01-06,CGNI23078864607128,126.15,misc
2024-12-04,HCKD84713007321225,1490.77,groceries
2024-10-10,VIOV16046905225629,492.28,travel
2024-02-17,UQQM04112118747688,1626.26,groceries
2024-06-30,AVJT78987856623818,1340.96,utilities
2024-08-10,ROYG29711889911029,868.27,misc
2024-05-17,FZBA64623810500184,166.74,shopping
2024-09-01,RHSJ24118543200134,753.03,donations
2024-03-25,KBOV13788470515164,500.51,business
2024-04-05,GZYB30773800658904,1911.82,health_and_fitness
2024-04-14,CIEA24426280691322,70.72,utilities
2024-10-07,QXRQ00113314874959,380.24,transportation
2024-03-26,YLXQ37638326216785,1323.84,groceries
2024-01-28,QLVZ58204462612234,378.19,subscriptions
2024-01-12,YEMV36527275550854,1397.1,shopping
2024-08-09,OIMV92265015735643,785.77,entertainment
2024-08-27,EGOM43766813308797,1550.74,transportation
2024-09-29,LKND15372528516753,1894.66,donations
2024-07-23,BFIQ78614859883246,76.82,home_improvement
2024-05-13,LYYC15907777017517,693.36,utilities
2024-05-03,ZQVR73450144481819,284.38,entertainment
2024-12-18,DHGN91161460053947,694.11,health_and_fitness
2024-07-15,ANDD64989142826322,1966.84,health_and_fitness
2024-06-29,XLLB34652552871068,1138.6,health_and_fitness
2024-04-13,JFPP28271707210033,1014.97,groceries
2024-09-16,FJNI92201506775801,708.76,transportation
2024-09-18,HXLB74099119860802,10.67,business
2024-06-28,PHXQ15819353460476,1496.26,insurance
2024-07-09,HYUN99078948663009,320.0,donations
2024-06-26,TZXD71109633156893,1614.82,dining
2024-04-10,SQTC44113753816931,1307.13,insurance
2024-02-16,YUEW13653693683623,1386.41,business
2024-01-09,ALLM92835610084014,346.33,transportation
2024-03-31,FKES83065177227586,995.15,entertainment
2024-03-04,JKYJ11397895924354,502.55,utilities
2024-10-17,WBVQ97296000624405,764.79,transportation
2024-03-18,GEOY65125501018047,475.82,business
2024-11-10,IEIQ83608471492408,1576.7,shopping
2024-07-30,PCLF00744477981781,1626.53,dining
2024-05-05,TJQR69102519805075,515.83,donations
2024-08-19,HBIU87195297287084,1747.11,travel
2024-11-01,WIFK78984170699750,1857.17,business
2024-09-02,JONC63429979093007,908.02,dining
2024-01-21,GOQZ62653148371223,1956.32,misc
2024-09-16,QMJH68317496385353,300.45,education
2024-01-16,SQHE48422507964324,63.47,entertainment
2024-07-29,XAZY67781347532866,21.04,dining
2024-06-24,BURB43283122337512,1540.4,insurance
2024-01-09,IXBW36492203403229,797.29,insurance
2024-10-15,TMBS12942588738393,22.78,utilities
2024-01-07,PLEG71335357904323,121.28,insurance
2024-05-23,VXIO79321374472682,573.36,health_and_fitness
2024-04-16,TIRC59592336951360,871.46,transportation
2024-05-25,UILB98019695916395,1408.62,business
2024-04-30,BTQH28620816831244,273.5,transportation
2024-08-23,BTWP19787451322421,1810.98,shopping
2024-01-08,PZJV49601933954828,326.61,groceries
2024-05-19,EFXL80890337544691,571.81,subscriptions
2024-09-12,JLHD20652501995682,1027.41,education
2024-08-12,ZXBJ07993503612385,1411.75,shopping
2024-07-20,RLFU84985390479632,1883.63,entertainment
2024-06-25,CLGX41106929420835,113.71,donations
2024-02-02,PTQO00389087084381,299.62,groceries
2024-10-19,VSFB87286918478304,1350.17,insurance
2024-09-23,HQIW76066891323501,749.28,subscriptions
2024-06-19,OQWF00182273704748,538.14,subscriptions
2024-08-31,YNCZ69313531682316,510.29,entertainment
2024-01-13,YVPR61706342211574,408.29,insurance
2024-06-01,UXUP84854710522496,829.05,insurance
2024-08-31,FZHO39314670241811,526.9,shopping
2024-06-23,URZJ02709701971608,986.9,health_and_fitness
2024-08-02,VCRF76201671531760,1327.6,misc
2024-03-18,SUOL16581715924821,1987.03,transportation
2024-07-22,NWRQ39151756031482,1982.03,home_improvement
2024-10-18,KFAL71891093190299,116.63,transportation
2024-04-22,ZAFN45489962066933,1483.91,business
2024-06-16,QBAJ98357212212426,1421.94,utilities
2024-06-01,GYUJ24186459387992,1998.85,misc
2024-03-29,JKYZ93969498830763,498.29,utilities
2024-09-11,APEG26259974480198,408.46,home_improvement
2024-09-03,YJLW61141159927181,40.08,dining
2024-05-13,PZJT24970006710901,1672.98,education
2024-04-30,TGBO39969618871236,155.49,subscriptions
2024-02-10,WBGR31488603692504,848.16,insurance
2024-01-09,UNCG75498873134436,1363.33,business
2024-01-26,YXMH29244984299885,741.08,shopping
2024-11-01,UKUL29524880219351,1025.11,health_and_fitness
2024-11-05,FUZA20558254763441,20.54,travel
2024-01-31,TSHD27628402269903,56.8,misc
2024-11-24,OBHO85487804627306,131.16,transportation
2024-03-18,EDQI03859229400200,423.3,education
2024-05-16,OCQY77132393426786,1099.07,home_improvement
2024-10-14,YFCR46999166229832,693.98,utilities
2024-05-26,EBEQ05003017391082,923.62,shopping
2024-02-29,OFHJ40527052925673,1071.03,business
2024-01-30,WLXL74591609703062,274.12,misc
2024-05-16,ZODW38855846470246,1392.5,health_and_fitness
2024-09-10,BJXE30461961928267,808.63,insurance
2024-08-29,MMYI67628159436684,1670.94,health_and_fitness
2024-11-24,YVPB65389506053375,1744.03,subscriptions
2024-04-18,XFLS69076057013342,1418.59,utilities
2024-01-29,UUKB54019567969143,1563.37,donations
2024-01-23,ZZHY24264594630742,979.39,donations
2024-06-15,SPZE37365171041417,1804.86,home_improvement
2024-09-24,LMTG16503456570433,1920.56,donations
2024-08-08,PLRQ90376886415195,1194.03,donations
2024-10-22,FEUM00051707959655,1900.87,shopping
2024-01-10,XKKU01700971180446,909.94,dining
2024-04-02,VDYE88830526637133,1013.0,donations
2023-12-22,QWRY03801822487896,895.32,education
2024-11-15,UANH60158571422824,757.11,business
2024-05-12,ISXZ34166562870638,872.8,misc
2024-04-26,JABA79095791593746,1308.22,health_and_fitness
2024-08-20,UTGI75469510765070,777.48,donations
2024-10-07,RMTO32949077249115,1434.09,transportation
2024-10-05,MMXX99036672291449,1538.8,groceries
2024-02-04,ZDKC55271281680116,397.27,misc
2024-04-15,FQST16568467229517,526.53,home_improvement
2024-04-05,FCSS01247757117112,621.22,groceries
2024-10-11,ZHNU36059931641688,1285.42,home_improvement
2024-07-02,DBPR56579237341188,1609.59,misc
2024-08-27,JLEA38633771869512,1466.4,transportation
2024-12-17,NSBR35466231873192,1819.73,subscriptions
2024-08-13,MJXA62737328448643,653.97,health_and_fitness
2024-05-27,NSCN10759683923921,1446.69,travel
2024-10-18,OXPV82044575268811,1058.75,entertainment
2024-03-09,OATQ33079604058076,578.0,subscriptions
2024-04-28,MYDU97403646860663,806.22,home_improvement
2024-11-02,OZCC25625475042517,530.82,groceries
2024-10-22,WNKQ27720989111332,490.33,travel
2024-01-19,IXAK34792119489388,569.68,subscriptions
2024-12-14,DYVO66037498912090,1882.68,shopping
2024-08-02,SSNC88953245927642,15.84,shopping
2024-10-21,DZNQ12868453171345,815.89,health_and_fitness
2023-12-31,XUES38817762145317,1498.33,shopping
2024-01-09,RKNA11970049992703,1417.43,misc
2024-11-15,IZBA21401667333594,1779.47,misc
2024-05-25,NRKO69288621317773,1210.35,education
2024-05-13,PPWP54335871009565,200.74,entertainment
2024-06-25,BBJD42926093717896,734.7,entertainment
2024-01-02,XZSW04812386707853,245.23,health_and_fitness
2024-12-06,ICEI54586557651362,779.76,education
2024-05-19,QEWG23449231872052,1668.45,donations
2024-01-19,GVNC75015828650428,135.45,health_and_fitness
2024-10-03,YYMP59913428036776,1527.44,shopping
2024-01-06,ACXZ82959677739366,369.47,shopping
2024-01-09,SVBR25175987831872,984.18,home_improvement
2024-05-12,WIOH58832649017701,432.09,donations
2024-07-22,YKZK05392943570692,1625.8,shopping
2024-02-02,CASY96993103303315,1956.46,business
2024-07-08,CTGU53030915026479,1575.5,dining
2024-11-28,BZZR76523105456664,1239.37,insurance
2024-05-21,DDWZ00153760489239,921.38,utilities
2024-01-12,PWOY79850440194597,539.74,utilities
2024-08-13,LQPO66903585164559,1418.9,utilities
2024-06-16,TILJ88686865681200,961.46,dining
2024-08-26,KRZM93684164912895,1140.43,groceries
2024-09-26,IWRL00838329231478,366.88,transportation
2024-10-19,JWQA64242102903585,787.71,business
2024-02-22,DMVD45406136628369,1190.58,health_and_fitness
2024-03-20,BRJX42469392825415,954.84,education
2024-11-07,AEQR38690631889686,784.16,travel
2024-10-11,LGBT90978008434851,1017.17,home_improvement
2024-11-24,ZOBN91350020125046,1461.54,subscriptions
2024-11-17,ORCW43571300368642,1164.9,insurance
2024-08-18,ITVX24568648491576,1530.85,groceries
2024-03-10,YAOK97356219167803,396.91,business
2024-01-16,RTOA66102164445350,293.02,health_and_fitness
2024-02-18,TLOZ12787468318409,904.7,education
2024-02-07,BHTB90225477444282,710.45,shopping
2024-11-23,ETPF14457864792580,1016.66,utilities
2024-11-27,FBFQ57810960451899,196.61,travel
2024-04-11,PWIX72389372503629,1062.77,home_improvement
2024-04-03,XUNZ85078256020076,1532.4,health_and_fitness
2024-03-21,CSIS02840141358173,281.29,insurance
2024-05-06,XDFD12224616447891,130.39,groceries
2024-07-25,JCTS68953331916453,1075.22,health_and_fitness
2024-03-29,CLWY00888055900520,1828.36,entertainment
2024-06-17,HSYG95268761098040,1399.18,donations
2024-05-03,UCND90714614130433,690.84,utilities
2024-08-23,GUMA17405029802369,403.2,travel
2024-10-24,ZMEY74165691245279,773.44,education
2024-06-13,YQGP46520853177771,98.93,groceries
2024-02-04,KYPI12195597109985,1640.16,dining
2024-03-29,PTOG63459741364537,874.82,health_and_fitness
2024-10-23,RJLF05233120734364,1869.48,shopping
2024-09-16,KMKV02369482290690,1273.51,shopping
2024-02-24,BVGL46284743081684,578.48,home_improvement
2024-05-25,CTXM13777414987099,251.36,health_and_fitness
2024-02-12,UGWK85564218796330,242.92,groceries
2024-05-12,SDGZ79852985463991,50.0,groceries
2024-04-10,QTWZ04959266222406,142.6,health_and_fitness
2024-11-26,AMBX84745513851187,1056.2,insurance
2024-05-31,QIMW08578178795447,432.44,education
2024-12-20,ZNST15015476086487,329.41,subscriptions
2024-06-03,HNUD18441173456535,1705.84,groceries
2024-02-05,TVME90326802008945,859.86,travel
2024-08-17,JEFM10846889422199,1678.58,dining
2024-05-10,KVKW34828996338406,1365.22,transportation
2024-10-08,YCHS78161682763259,1813.79,dining
2024-05-25,KZXJ25641822348111,429.82,shopping
2024-06-10,TECZ65757982974387,830.56,misc
2024-06-12,LSCV25258644330984,1906.43,groceries
2024-06-02,KBTM96218186867518,1439.06,travel
2024-05-11,WGAE86898103584571,1985.77,utilities
2024-05-30,RWAF59336344973355,497.34,education
2024-08-03,GZJL38761132638011,833.19,education
2024-11-14,YVZR08813201391517,1462.86,utilities
2024-07-15,JNLA99765761652330,1511.61,insurance
2024-01-25,PSMO77702638521524,1547.16,business
2023-12-28,ELOQ14615976321475,557.8,business
2024-10-17,NRJG38945034959417,624.39,business
2024-06-13,BWIA89766509023750,1140.24,misc
2024-01-29,QENK39221737471476,1168.57,travel
2024-06-28,DRIL62641067205690,857.13,business
2024-12-15,FSIU61979726825961,640.58,transportation
2024-05-28,WBQC22020103007473,1179.27,dining
2024-09-19,IIGO57267588643459,175.53,groceries
2024-11-04,BTQP44940546878559,1768.85,business
2024-10-31,VIOQ42872360466370,796.03,subscriptions
2024-08-11,UOGB76204076976066,586.97,donations
2024-09-26,LPXM22967527662702,578.93,insurance
2024-11-30,JAVQ80555079826721,1574.3,shopping
2024-04-09,HDDG47590633339245,1842.06,travel
2024-07-21,LYJQ75702578282462,251.44,groceries
2024-01-17,GGPL59772604180756,1763.55,misc
2024-11-23,IXTJ73521996500180,16.16,business
2024-05-29,TIQF02309336987972,1030.24,misc
2024-05-25,NXLH29828637971738,782.09,shopping
2024-07-23,EXDG79719328964073,435.14,utilities
2024-04-05,WSKK84276493287425,170.24,entertainment
2024-07-24,PPOO13075571820695,312.69,insurance
2024-07-23,JBRU49459240396710,1533.46,groceries
2024-09-06,CXSE82134807505191,1205.26,transportation
2024-05-17,CPQZ35953112846956,1798.44,health_and_fitness
2024-02-03,VEIO27100128801127,1814.45,transportation
2024-09-10,RTNX47715798749153,194.42,groceries
2024-04-02,BGOX11866422073089,120.84,donations
2024-11-23,GFJI92331742757155,1093.5,groceries
2023-12-27,QIXG36936515090273,412.28,utilities
2024-09-24,ZHNN28878022891071,523.33,entertainment
2024-07-23,KJKB58093151394262,1681.43,education
2024-06-01,ECLO65101592173972,1197.8,subscriptions
2023-12-30,GBVB27965760962933,1426.46,business
2024-05-28,QZBR43678907299762,29.31,health_and_fitness
2024-11-04,TWRY32030353307486,1301.48,misc
2024-07-06,QTON27043588357054,1405.51,entertainment
2024-05-28,RBFW20664367975185,676.05,donations
2024-02-16,EJTP06197261522283,1710.22,health_and_fitness
2024-04-12,WGAY56423875556489,256.78,dining
2024-11-06,WISO29414182527712,349.3,misc
2023-12-28,AJQN59689273991236,201.66,utilities
2024-05-09,XPYY24193093571296,1847.57,home_improvement
2024-04-25,ZUNR20151016680814,1302.8,shopping
2024-09-11,ZTCK39329633561801,1061.57,travel
2024-01-04,CTJL17855774434429,1079.72,utilities
2024-02-06,QAMI88972046329358,1297.4,shopping
2024-04-21,UQMA33432190320824,1648.97,health_and_fitness
2024-01-20,HPIW46613728681892,1941.91,education
2024-10-23,BBGC02832158005350,990.59,misc
2024-09-29,DEXI82741202426723,94.54,dining
2024-04-18,NHTE88608994870748,1968.88,transportation
2024-05-15,MBWE71019396138784,714.34,home_improvement
